# MERC -- final v1.1 pass, 2026-09-14.
#
# The SAME 100 documents (seed 20260910) re-classified from scratch against
# the final v1.1 taxonomy, i.e. after the 2026-09-11 Hearing Notice / Daily
# Order definition changes were seeded. merc-run-v1_1.log is kept alongside
# this file as the earlier 09-11 pass: that one is the REGRESSED state
# Finding 11 diagnoses (hearing rows titled with the petition drifting to
# Order), and it is not what this repository ships.
#
# 100 classified, 21 flagged, 0 errors. Hearing Notice 43 / Order 25 /
# Daily Order 14 / RTI 8 / Public Notice 5 / Regulations 2 / Press Release 1
# / Report 1 / Minutes of Meeting 1.

﻿=== MERC: seed, reset, re-classify 100 against final v1.1 ===
Seeding MERC taxonomy...
Domain "Electricity" ready (id: cmtvdn4ej0000y4dfakklrhil)
Regulator "MERC" ready (id: cmtvdn50j0001y4dfdcefo9ml)
  Subject: Tariff Determination
  Subject: Renewable Energy & RPO
  Subject: Standards of Performance & Consumer Protection
  Subject: Licensing
  Subject: Regulatory Framework & Rulemaking
  Subject: Competition & Open Access
  Subject: Institutional Governance & Administration
  Subject: Public Information & Transparency
  Subject: Public Communication & Outreach
  Instrument Type: Act
  Instrument Type: Regulations
  Instrument Type: Order
  Instrument Type: Draft Order
  Instrument Type: Corrigendum Order
  Instrument Type: Public Notice / Consultation Notice
  Instrument Type: Press Release
  Instrument Type: Annual Report
  Instrument Type: FAQ
  Instrument Type: RTI Response / Disclosure
  Instrument Type: Hearing Notice
  Instrument Type: Daily Order
  Instrument Type: Report
  Instrument Type: Licence
  Instrument Type: Tender / RFP
  Instrument Type: Notification
  Instrument Type: Minutes of Meeting
  Instrument Type: Recruitment Notice
  Status: In Force
  Status: Draft / Under Consultation
  Status: Superseded
  Status: Amended
  Status: Repealed
  Status: Under Litigation / Stayed
  Status: Not Applicable
MERC taxonomy seed complete.
Deleted 100 update entries and 100 source documents for MERC.
MERC's taxonomy tags were left untouched.
Loaded 20740 normalized MERC documents. Processing a seeded random sample of 100 (seed=20260910).
Sample written to <repo>\scripts\.audit\merc-sample-20260910.json

[auto-accepted] Postponed Notice — Petition of Bhulani Steel against Maharashtra State -> subject=Standards of Performance & Consumer Protection | instrument=Hearing Notice | status=Not Applicable | confidence=0.85
[auto-accepted] Petition of Nidar Utilities Panvel LLP for the adoption of the Tariff  -> subject=Tariff Determination | instrument=Hearing Notice | status=Not Applicable | confidence=0.95
[FLAGGED] Reserved for Order Statement [Case No. 12 & 99 of 2024 & 220 & 226 of  -> subject=Institutional Governance & Administration | instrument=Daily Order | status=In Force | confidence=0.60
[auto-accepted] Petition of BLP Wind Project (Amberi) Private Limited under Section 86 -> subject=Renewable Energy & RPO | instrument=Order | status=In Force | confidence=0.85
[auto-accepted] Petition of Tata Power Renewable Energy Limited seeking extension of t -> subject=Renewable Energy & RPO | instrument=Hearing Notice | status=Not Applicable | confidence=0.90
[auto-accepted] Daily Order 1427280208855 [Case No. 38 of 2015 & MA No 2 of 2015 in Ca -> subject=Competition & Open Access | instrument=Daily Order | status=In Force | confidence=0.90
[auto-accepted] Maharashtra State Electricity Distribution Company Ltd.?s (MSEDCL) Pet -> subject=Tariff Determination | instrument=Order | status=In Force | confidence=0.85
[auto-accepted] Petition filled by Jsons Foundry Private Limited against Maharashtra S -> subject=Competition & Open Access | instrument=Hearing Notice | status=Not Applicable | confidence=0.95
[auto-accepted] Petition of Maharashtra State Load Dispatch Centre seeking approval fo -> subject=Competition & Open Access | instrument=Hearing Notice | status=Not Applicable | confidence=0.85
[FLAGGED] Petition of Shri Rakshpal Abrol, President, Bharatiya Udhami Avam Upbh -> subject=Tariff Determination | instrument=Order | status=In Force | confidence=0.72
[auto-accepted] MERC (Renewable Purchase Obligation, its Compliance and Implementation -> subject=Renewable Energy & RPO | instrument=Regulations | status=In Force | confidence=0.97
[auto-accepted] Petition of Rattan India Power Limited, under Section 86 (1) (f) of th -> subject=Competition & Open Access | instrument=Hearing Notice | status=Not Applicable | confidence=0.85
[FLAGGED] Interim Order dated 9 11 2015 [Case No. 182 of 2014] -> subject=Licensing | instrument=Order | status=In Force | confidence=0.72
[auto-accepted] Petition filed by M/s Pulgaon Cotton Mills Limited, seeking redressal  -> subject=Competition & Open Access | instrument=Order | status=In Force | confidence=0.95
[auto-accepted] Petition of M/s Tiwari Enterprises under Section 142 of the EA, 2003,  -> subject=Standards of Performance & Consumer Protection | instrument=Daily Order | status=In Force | confidence=0.90
